Date,Adj Close
2016-04-04,9.07
2016-04-05,8.95
2016-04-06,8.99
2016-04-07,8.83
2016-04-08,8.91
2016-04-11,9.0
2016-04-12,9.38
2016-04-13,9.56
2016-04-14,9.51
2016-04-15,9.43
2016-04-18,9.38
2016-04-19,9.35
2016-04-20,9.36
2016-04-21,9.43
2016-04-22,9.39
2016-04-25,9.27
2016-04-26,9.32
2016-04-27,9.45
2016-04-28,9.31
2016-04-29,9.16
2016-05-02,9.35
2016-05-03,9.23
2016-05-04,9.07
2016-05-05,8.97
2016-05-06,9.55
2016-05-09,9.59
2016-05-10,9.76
2016-05-11,9.44
2016-05-12,9.37
2016-05-13,9.1
2016-05-16,9.29
2016-05-17,9.07
2016-05-18,8.98
2016-05-19,8.9
2016-05-20,8.94
2016-05-23,8.93
2016-05-24,9.14
2016-05-25,9.39
2016-05-26,9.3
2016-05-27,9.46
2016-05-31,9.51
2016-06-01,9.62
2016-06-02,9.62
2016-06-03,9.54
2016-06-06,9.64
2016-06-07,9.61
2016-06-08,9.66
2016-06-09,9.6
2016-06-10,9.42
2016-06-13,9.3
2016-06-14,9.21
2016-06-15,9.44
2016-06-16,9.49
2016-06-17,9.6
2016-06-20,9.84
2016-06-21,9.84
2016-06-22,9.81
2016-06-23,9.92
2016-06-24,9.64
2016-06-27,9.3
2016-06-28,9.45
2016-06-29,9.82
2016-06-30,9.9
2016-07-01,9.97
2016-07-05,9.76
2016-07-06,9.83
2016-07-07,9.69
2016-07-08,10.0
2016-07-11,10.22
2016-07-12,11.32
2016-07-13,11.59
2016-07-14,11.3
2016-07-15,11.15
2016-07-18,11.18
2016-07-19,11.46
2016-07-20,11.5
2016-07-21,11.31
2016-07-22,11.47
2016-07-25,11.39
2016-07-26,11.44
2016-07-27,11.44
2016-07-28,11.47
2016-07-29,11.49
2016-08-01,11.41
2016-08-02,11.26
2016-08-03,11.41
2016-08-04,11.53
2016-08-05,11.61
2016-08-08,11.58
2016-08-09,11.33
2016-08-10,11.25
2016-08-11,11.28
2016-08-12,11.3
2016-08-15,11.49
2016-08-16,11.4
2016-08-17,11.38
2016-08-18,11.39
2016-08-19,11.4
2016-08-22,11.34
2016-08-23,11.51
2016-08-24,11.47
2016-08-25,11.46
2016-08-26,11.37
2016-08-29,11.41
2016-08-30,11.28
2016-08-31,11.17
2016-09-01,11.33
2016-09-02,11.33
2016-09-06,11.19
2016-09-07,11.25
2016-09-08,11.19
2016-09-09,10.87
2016-09-12,11.7
2016-09-13,11.65
2016-09-14,11.55
2016-09-15,11.73
2016-09-16,11.69
2016-09-19,11.73
2016-09-20,11.76
2016-09-21,12.1
2016-09-22,12.4
2016-09-23,12.4
2016-09-26,12.2
2016-09-27,12.21
2016-09-28,12.47
2016-09-29,12.69
2016-09-30,12.71
2016-10-03,12.62
2016-10-04,12.55
2016-10-05,12.57
2016-10-06,12.52
2016-10-07,12.33
2016-10-10,12.48
2016-10-11,12.29
2016-10-12,12.29
2016-10-13,12.26
2016-10-14,12.31
2016-10-17,12.32
2016-10-18,12.43
2016-10-19,12.52
2016-10-20,12.48
2016-10-21,12.42
2016-10-24,12.55
2016-10-25,12.41
2016-10-26,12.21
2016-10-27,12.3
2016-10-28,12.57
2016-10-31,12.95
2016-11-01,12.25
2016-11-02,12.05
2016-11-03,11.9
2016-11-04,11.85
2016-11-07,12.1
2016-11-08,12.3
2016-11-09,12.7
2016-11-10,12.75
2016-11-11,12.85
2016-11-14,12.75
2016-11-15,12.75
2016-11-16,12.7
2016-11-17,12.75
2016-11-18,12.75
2016-11-21,12.75
2016-11-22,12.7
2016-11-23,12.75
2016-11-25,13.0
2016-11-28,12.85
2016-11-29,12.95
2016-11-30,12.95
2016-12-01,12.8
2016-12-02,12.75
2016-12-05,13.15
2016-12-06,13.45
2016-12-07,13.75
2016-12-08,13.9
2016-12-09,13.9
2016-12-12,13.5
2016-12-13,13.95
2016-12-14,13.85
2016-12-15,13.7
2016-12-16,13.75
2016-12-19,13.55
2016-12-20,13.6
2016-12-21,13.6
2016-12-22,13.4
2016-12-23,13.5
2016-12-27,13.45
2016-12-28,13.45
2016-12-29,13.5
2016-12-30,13.35
2017-01-03,13.4
2017-01-04,13.45
2017-01-05,13.5
2017-01-06,13.5
2017-01-09,13.25
2017-01-10,13.5
2017-01-11,13.55
2017-01-12,13.1
2017-01-13,13.2
2017-01-17,13.15
2017-01-18,13.35
2017-01-19,13.4
2017-01-20,13.4
2017-01-23,13.6
2017-01-24,13.95
2017-01-25,14.0
2017-01-26,14.05
2017-01-27,14.1
2017-01-30,13.7
2017-01-31,13.85
2017-02-01,14.1
2017-02-02,13.9
2017-02-03,14.05
2017-02-06,13.9
2017-02-07,13.85
2017-02-08,13.65
2017-02-09,14.05
2017-02-10,14.1
2017-02-13,14.25
2017-02-14,14.25
2017-02-15,14.4
2017-02-16,14.2
2017-02-17,14.1
2017-02-21,14.05
2017-02-22,13.9
2017-02-23,14.05
2017-02-24,13.85
2017-02-27,13.6
2017-02-28,12.95
2017-03-01,12.85
2017-03-02,12.45
2017-03-03,12.4
2017-03-06,12.35
2017-03-07,12.3
2017-03-08,12.25
2017-03-09,11.85
2017-03-10,12.1
2017-03-13,11.9
2017-03-14,11.75
2017-03-15,12.2
2017-03-16,12.25
2017-03-17,12.3
2017-03-20,12.05
2017-03-21,12.0
2017-03-22,12.0
2017-03-23,12.15
2017-03-24,12.05
2017-03-27,12.05
2017-03-28,12.15
2017-03-29,12.15
2017-03-30,12.3
2017-03-31,12.1
2017-04-03,12.0
2017-04-04,12.25
2017-04-05,12.0
2017-04-06,12.05
2017-04-07,12.0
2017-04-10,12.15
2017-04-11,12.15
2017-04-12,12.05
2017-04-13,11.95
2017-04-17,12.05
2017-04-18,12.15
2017-04-19,12.05
2017-04-20,12.35
2017-04-21,12.05
2017-04-24,12.0
2017-04-25,12.25
2017-04-26,12.6
2017-04-27,12.6
2017-04-28,12.4
2017-05-01,12.35
2017-05-02,12.5
2017-05-03,12.45
2017-05-04,12.3
2017-05-05,12.3
2017-05-08,12.25
2017-05-09,12.5
2017-05-10,12.25
2017-05-11,12.05
2017-05-12,12.1
2017-05-15,12.25
2017-05-16,12.1
2017-05-17,11.9
2017-05-18,12.0
2017-05-19,12.1
2017-05-22,12.25
2017-05-23,12.1
2017-05-24,12.2
2017-05-25,12.25
2017-05-26,12.25
2017-05-30,12.15
2017-05-31,12.35
2017-06-01,12.7
2017-06-02,12.85
2017-06-05,12.7
2017-06-06,13.35
2017-06-07,13.4
2017-06-08,13.6
2017-06-09,13.45
2017-06-12,13.35
2017-06-13,13.5
2017-06-14,13.4
2017-06-15,13.15
2017-06-16,13.2
2017-06-19,13.4
2017-06-20,12.9
2017-06-21,12.9
2017-06-22,12.9
2017-06-23,12.95
2017-06-26,13.2
2017-06-27,13.05
2017-06-28,13.3
2017-06-29,13.25
2017-06-30,13.3
2017-07-03,13.1
2017-07-05,13.2
2017-07-06,13.0
2017-07-07,13.1
2017-07-10,13.05
2017-07-11,13.0
2017-07-12,13.05
2017-07-13,13.0
2017-07-14,13.0
2017-07-17,13.05
2017-07-18,13.05
2017-07-19,13.2
2017-07-20,13.2
2017-07-21,13.2
2017-07-24,13.1
2017-07-25,13.25
2017-07-26,13.05
2017-07-27,13.2
2017-07-28,13.1
2017-07-31,13.05
2017-08-01,13.05
2017-08-02,12.8
2017-08-03,12.85
2017-08-04,13.1
2017-08-07,13.1
2017-08-08,13.05
2017-08-09,12.85
2017-08-10,12.3
2017-08-11,12.35
2017-08-14,12.55
2017-08-15,12.55
2017-08-16,12.55
2017-08-17,12.55
2017-08-18,12.35
2017-08-21,12.25
2017-08-22,12.45
2017-08-23,12.35
2017-08-24,12.3
2017-08-25,12.35
2017-08-28,12.4
2017-08-29,12.55
2017-08-30,12.5
2017-08-31,12.75
2017-09-01,12.7
2017-09-05,12.45
2017-09-06,12.6
2017-09-07,12.55
